BsaI,BbsI,PaqCI,BsmBI/Esp3I,Payload_2,Payload_4,Payload_1,Payload_8,Payload_6,Payload_3,Plate_ID,Row,Col
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,1
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,1
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,1
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,D,1
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,1
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,1
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,1
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,1
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,2
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,3
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,B,3
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,C,3
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,3
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,3
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,3
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,3
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,H,3
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,4
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,B,4
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,4
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,4
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,4
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,4
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,G,4
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,4
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,5
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,6
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,6
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,C,6
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,D,6
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,E,6
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,6
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,6
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,6
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,7
0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,45.0,B,7
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,7
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,7
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,7
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,7
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,7
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,7
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,8
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,B,8
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,C,8
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,8
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,8
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,8
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,8
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,8
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,9
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,B,9
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,9
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,9
0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,45.0,E,9
0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.5,0.0,45.0,F,9
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,9
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,9
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,10
0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,45.0,D,10
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,E,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,10
7.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,45.0,H,10
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,A,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,D,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,E,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,11
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,11
0.0,7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,45.0,A,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,B,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,C,12
0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.5,0.0,45.0,D,12
0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,45.0,E,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,F,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,G,12
7.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,45.0,H,12
