,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
17,1,B,3,intergenic_3,BsaI,Payload_2,Tag_86,Tag_135,,,,,,N,N,,,1.055,21.17,0.2159201176518601,17.31,False,False,True,True,True,True,False,False,True,True
91,1,D,12,intergenic_18,BsaI,Payload_2,Tag_23,Tag_131,,,,,,N,N,,,0.981,21.67,0.2290356241567779,19.59,False,False,True,True,True,True,False,False,True,True
142,2,G,6,intergenic_33,BbsI,Payload_4,Tag_8,Tag_32,,,,,,N,N,,,0.102,11.25306,1.9210446550516757e-29,1.00306,False,False,False,True,False,False,False,False,False,False
195,3,D,1,intergenic_44,BsaI,Payload_2,Tag_136,Tag_175,,,,,,N,Y,,,0.1,3.25333,3.395253295371309e-16,1.00333,False,True,False,False,False,False,False,False,False,False
219,3,D,4,intergenic_48,BsaI,Payload_2,Tag_69,Tag_139,,,,,,N,Y,,,0.103,6.75333,9.226616612586912e-17,1.00333,False,True,False,False,False,False,False,False,False,False
278,3,G,11,intergenic_59,BsaI,Payload_2,Tag_57,Tag_61,,,,,,N,N,,,0.113,6.75333,1.2719860058833594e-19,1.00333,False,False,False,False,False,False,False,False,False,False
355,4,D,9,intergenic_79,BsaI,Payload_2,Tag_1,Tag_11,,,,,,N,N,,,0.111,3.50333,3.6841778509783084e-28,1.00333,False,False,False,False,False,False,False,False,False,False
365,4,F,10,intergenic_81,BsaI,Payload_2,Tag_6,Tag_132,,,,,,N,N,,,0.13,15.25333,2.727971636117753e-20,1.00333,False,False,False,True,False,False,False,False,False,False
410,5,C,4,intergenic_89,BsaI,Payload_2,Tag_65,Tag_183,,,,,,N,N,,,1.461,22.75306,0.3185453125676138,18.06306,False,False,True,True,True,True,False,False,True,True
414,5,G,4,intergenic_90,BsaI,Payload_2,Tag_56,Tag_117,,,,,,N,N,,,0.11,3.50333,7.144140588447038e-14,1.00306,False,False,False,False,False,False,False,False,False,False
538,6,C,8,intergenic_110,BsaI,Payload_2,Tag_71,Tag_153,,,,,,N,N,,,0.108,5.25333,9.540137644563689e-22,1.00333,False,False,False,False,False,False,False,False,False,False
543,6,H,8,intergenic_111,BsaI,Payload_2,Tag_17,Tag_158,,,,,,N,N,,,0.095,4.25333,3.2103938221289367e-18,1.00333,False,False,False,False,False,False,False,False,False,False
615,7,H,5,intergenic_123,BsaI,Payload_2,Tag_111,Tag_159,,,,,,N,N,,,0.105,6.25333,4.036330470533413e-24,1.00333,False,False,False,False,False,False,False,False,False,False
675,8,D,1,intergenic_132,BsaI,Payload_2,Tag_52,Tag_98,,,,,,N,N,,,0.109,5.25306,3.423588444864596e-18,1.00333,False,False,False,False,False,False,False,False,False,False
680,8,A,2,intergenic_134,BsaI,Payload_2,Tag_15,Tag_122,,,,,,N,N,,,0.098,5.25306,-1.2815574324744026e-19,1.00333,False,False,False,False,False,False,False,False,False,False
741,8,F,9,intergenic_149,BsaI,Payload_2,Tag_18,Tag_48,,,,,,N,N,,,0.107,5.50333,1.0388735820721782e-24,1.00333,False,False,False,False,False,False,False,False,False,False
775,9,H,1,intergenic_157,BsaI,Payload_2,Tag_128,Tag_167,,,,,,N,?,,,1.678,11.00333,0.3548004619867733,6.27333,False,False,True,True,True,True,False,False,True,True
803,9,D,5,intergenic_163,BsaI,Payload_2,Tag_14,Tag_130,,,,,,N,N,,,0.128,8.00306,2.517986172147772e-16,1.18333,False,False,False,True,False,False,False,False,False,False
815,9,H,6,intergenic_165,BsaI,Payload_2,Tag_64,Tag_160,,,,,,N,?,,,1.076,24.00333,0.2428549671736078,6.53333,False,False,True,True,True,True,False,False,True,True
817,9,B,7,intergenic_166,BsaI,Payload_2,Tag_21,Tag_120,,,,,,N,N,,,0.105,1.75333,2.0281738352490148e-29,1.00333,False,False,False,False,False,False,False,False,False,False
819,9,D,7,intergenic_167,BsaI,Payload_2,Tag_75,Tag_114,,,,,,N,N,,,0.116,2.50306,2.529904282479304e-15,1.00333,False,False,False,False,False,False,False,False,False,False
821,9,F,7,intergenic_168,BsaI,Payload_2,Tag_132,Tag_161,,,,,,N,N,,,1.44,13.75306,0.3066873142418956,7.95333,False,False,True,True,True,True,False,False,True,True
935,10,H,9,intergenic_193,BsaI,Payload_2,Tag_69,Tag_76,,,,,,N,N,,,0.101,13.25333,3.6430425055747357e-17,1.00333,False,False,False,True,False,False,False,False,False,False
971,11,D,2,intergenic_197,BsaI,Payload_2,Tag_4,Tag_178,,,,,,?,Y,,,1.707,11.75306,0.3430164862669854,6.92306,False,True,True,True,True,True,False,True,True,True
990,11,G,4,intergenic_202,BsaI,Payload_2,Tag_23,Tag_135,,,,,,N,N,,,0.122,10.75306,6.742889507743549e-19,1.00306,False,False,False,True,False,False,False,False,False,False
1026,11,C,9,intergenic_207,BsaI,Payload_2,Tag_123,Tag_147,,,,,,N,N,,,0.121,9.50306,2.6889539500339997e-16,1.00306,False,False,False,True,False,False,False,False,False,False
1046,11,G,11,intergenic_211,BsaI,Payload_2,Tag_92,Tag_137,,,,,,Y,N,,,1.74,12.00306,0.3468035166387155,6.84306,True,False,True,True,True,True,False,True,True,True
1064,12,A,2,intergenic_214,BsaI,Payload_2,Tag_1,Tag_141,,,,,,N,N,,,0.125,21.25333,5.7281849598409554e-21,1.00333,False,False,False,True,False,False,False,False,False,False
1073,12,B,3,intergenic_216,BsaI,Payload_2,Tag_23,Tag_43,,,,,,N,N,,,0.12,24.00306,0.0095810968750732,23.75333,False,False,False,True,False,False,False,False,False,False
1087,12,H,4,intergenic_218,BsaI,Payload_2,Tag_8,Tag_144,,,,,,N,N,,,0.188,24.00306,0.0309553059748824,23.75333,False,False,False,True,False,False,False,False,False,False
1092,12,E,5,intergenic_219,BsaI,Payload_2,Tag_67,Tag_148,,,,,,N,N,,,0.102,10.00333,9.193262999023739e-28,1.00333,False,False,False,True,False,False,False,False,False,False
1124,12,E,9,intergenic_226,BsaI,Payload_2,Tag_113,Tag_190,,,,,,?,N,,,1.767,10.75306,0.3531333377837647,5.95333,False,False,True,True,True,True,False,False,True,True
1354,15,C,2,intergenic_260,BsaI,Payload_2,Tag_11,Tag_130,,,,,,Y,N,,,0.131,24.00333,0.0002873787617698,23.66667,True,False,False,True,False,False,False,False,False,False
1408,15,A,9,intergenic_269,BsaI,Payload_2,Tag_43,Tag_183,,,,,,N,Y,,,1.699,12.33722,0.3143494056269733,7.15667,False,True,True,True,True,True,False,True,True,True
2217,24,B,2,intergenic_425,BsaI,Payload_2,Tag_79,Tag_164,,,,,,N,N,,,0.105,2.08639,3.7529282097637873e-19,1.66972,False,False,False,False,False,False,False,False,False,False
2259,24,D,7,intergenic_434,BsaI,Payload_2,Tag_82,Tag_188,,,,,,N,N,,,0.104,2.08639,4.795892890322368e-24,1.66972,False,False,False,False,False,False,False,False,False,False
2278,24,G,9,intergenic_437,BsaI,Payload_2,Tag_63,Tag_114,,,,,,N,N,,,0.112,5.83667,-6.238133288536265e-22,1.66972,False,False,False,False,False,False,False,False,False,False
2288,24,A,11,intergenic_440,BsaI,Payload_2,Tag_168,Tag_183,,,,,,N,N,,,0.118,22.08639,-1.1425465311413124e-14,1.66972,False,False,False,True,False,False,False,False,False,False
2358,25,G,7,intergenic_456,BsaI,Payload_2,Tag_137,Tag_178,,,,,,N,N,,,0.757,24.17,0.292637706014525,23.75,False,False,True,True,True,False,False,False,False,False
2427,26,D,4,intergenic_466,BbsI,Payload_4,Tag_101,Tag_175,,,,,,N,N,,,0.106,18.33639,-1.0499245350098332e-16,1.67,False,False,False,True,False,False,False,False,False,False
