GeneID,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3
0,1,A,1,SMU_01,BsaI,Payload_2,Tag_58,Tag_82,SMu0001,24378533,SMU.01,VIMSS294836,1029426,N,N,N,?,0.19,24.00333,0.0600645280350988,23.83,False,False,False,True,False,False,False,False,False,False
3,1,D,1,SMU_05,BsaI,Payload_2,Tag_62,Tag_106,SMu0003,24378535,SMU.05,VIMSS294838,1029438,Y,N,N,Y,0.975,16.83667,0.216163998251463,15.02,True,False,True,True,True,True,False,True,True,True
5,1,F,1,SMU_07,BsaI,Payload_2,Tag_88,Tag_177,SMu0005,24378537,SMU.07,VIMSS294840,1029439,N,N,N,?,1.063,23.83667,0.249045597795623,19.93,False,False,True,True,True,True,False,False,True,True
8,1,A,2,SMU_10,BbsI,Payload_4,Tag_7,Tag_29,SMu0008,24378540,SMU.10,VIMSS294843,1029403,N,N,N,?,1.14,24.00333,0.231192070242289,19.38,False,False,True,True,True,True,False,False,True,True
11,1,D,2,SMU_13,BsaI,Payload_2,Tag_115,Tag_150,SMu0011,24378543,SMU.13,VIMSS294846,1029348,N,N,N,Y,1.121,23.00333,0.243554426156291,19.3,False,False,True,True,True,True,False,False,True,True
13,1,F,2,SMU_15,BsaI,Payload_2,Tag_40,Tag_117,SMu0013,24378545,SMU.15,VIMSS294848,1029422,N,N,N,?,1.333,24.00333,0.307413288335651,13.79,False,False,True,True,True,True,False,False,True,True
16,1,A,3,SMU_18,BsaI,Payload_2,Tag_65,Tag_121,SMu0015,24378547,SMU.18,VIMSS294850,1029373,N,N,N,?,1.045,24.00333,0.217379803457728,18.65,False,False,True,True,True,True,False,False,True,True
17,1,B,3,intergenic_3,BsaI,Payload_2,Tag_86,Tag_135,,,,,,N,N,,,1.055,21.17,0.21592011765186,17.31,False,False,True,True,True,True,False,False,True,True
20,1,E,3,SMU_22,BsaI,Payload_2,Tag_26,Tag_156,SMu0018,24378550,SMU.22,VIMSS294853,1029610,N,N,N,?,1.224,24.00333,0.270608110076482,14.36,False,False,True,True,True,True,False,False,True,True
21,1,F,3,SMU_23,BsaI,Payload_2,Tag_109,Tag_132,SMu0019,24378551,SMU.23,VIMSS294854,1029611,N,N,N,Y,1.047,22.50333,0.232794781805461,19.06,False,False,True,True,True,True,False,False,True,True
77,1,F,10,SMU_70,BsaI,Payload_2,Tag_44,Tag_160,SMu0063,24378595,SMU.70,VIMSS294898,1029655,N,N,N,?,1.051,23.17,0.255816047953826,20.58,False,False,True,True,True,False,False,False,False,False
89,1,B,12,SMU_80,BsaI,Payload_2,Tag_2,Tag_62,SMu0072,24378604,SMU.80,VIMSS294907,1029663,N,N,Y,N,1.087,24.00333,0.235552064324308,20.53,False,False,True,True,True,False,False,False,False,False
90,1,C,12,SMU_81,BsaI,Payload_2,Tag_12,Tag_178,SMu0073,24378605,SMU.81,VIMSS294908,1029662,N,N,Y,N,0.977,21.50333,0.223101488402267,19.37,False,False,True,True,True,True,False,False,True,True
91,1,D,12,intergenic_18,BsaI,Payload_2,Tag_23,Tag_131,,,,,,N,N,,,0.981,21.67,0.229035624156778,19.59,False,False,True,True,True,True,False,False,True,True
110,2,G,2,SMU_96,BsaI,Payload_2,Tag_132,Tag_134,SMu0086,347750431,SMU.96,VIMSS294921,1029671,N,N,Y,N,1.365,23.25306,0.226146668925139,15.00306,False,False,True,True,True,True,False,False,True,True
111,2,H,2,SMU_97,BsaI,Payload_2,Tag_14,Tag_175,SMu0087,24378619,SMU.97,VIMSS294922,1029678,N,N,Y,N,0.258,24.00306,0.084392273322919,23.75306,False,False,True,True,False,False,False,False,False,False
113,2,B,3,SMU_99,BbsI,Payload_4,Tag_123,Tag_149,SMu0088,24378620,SMU.99,VIMSS294923,1029679,N,N,Y,N,0.104,5.50306,1.64997142351727E-22,1.00306,False,False,False,False,False,False,False,False,False,False
142,2,G,6,intergenic_33,BbsI,Payload_4,Tag_8,Tag_32,,,,,,N,N,,,0.102,11.25306,1.92104465505168E-29,1.00306,False,False,False,True,False,False,False,False,False,False
143,2,H,6,SMU_123,BsaI,Payload_2,Tag_80,Tag_104,SMu0110,24378642,SMU.123,VIMSS294945,1029702,Y,N,Y,N,0.137,24.00306,0.0007548236382613,23.74306,True,False,False,True,False,False,False,False,False,False
148,2,E,7,SMU_127,BsaI,Payload_2,Tag_30,Tag_165,SMu0113,24378645,SMU.127,VIMSS294948,1029703,N,N,N,Y,0.188,24.00306,0.0426403534745893,23.75306,False,False,False,True,False,False,False,False,False,False
149,2,F,7,SMU_128,BsaI,Payload_2,Tag_49,Tag_98,SMu0114,24378646,SMU.128,VIMSS294949,1029701,N,N,Y,N,0.35,24.00306,0.152802686878573,23.75306,False,False,True,True,True,False,False,False,False,False
151,2,H,7,SMU_130,BsaI,Payload_2,Tag_144,Tag_172,SMu0116,24378648,SMU.130,VIMSS294951,1029705,N,N,Y,N,0.111,24.00306,1.53999483875976E-15,1.00306,False,False,False,True,False,False,False,False,False,False
165,2,F,9,SMU_143c,BsaI,Payload_1,Tag_171,Tag_174,SMu0128,24378660,SMU.143c,VIMSS294963,1029717,N,N,N,Y,0.105,4.25306,7.22008398075517E-15,1.00306,False,False,False,False,False,False,False,False,False,False
195,3,D,1,intergenic_44,BsaI,Payload_2,Tag_136,Tag_175,,,,,,N,Y,,,0.1,3.25333,3.39525329537131E-16,1.00333,False,True,False,False,False,False,False,False,False,False
196,3,E,1,SMU_169,BbsI,Payload_4,Tag_65,Tag_151,SMu0152,24378684,SMU.169,VIMSS294987,1029741,N,Y,Y,N,0.101,18.75306,4.03986822881145E-33,1.00333,False,True,False,True,False,False,False,False,False,False
197,3,F,1,SMU_170,BsaI,Payload_2,Tag_79,Tag_98,SMu0153,24378685,SMU.170,VIMSS294988,1029746,N,Y,Y,N,0.101,9.50333,1.2516176968371E-21,1.00333,False,True,False,True,False,False,False,False,False,False
209,3,B,3,SMU_181,BsaI,Payload_2,Tag_3,Tag_119,SMu0163,24378695,SMU.181,VIMSS294998,1029752,N,Y,N,?,0.103,3.00333,3.36343665110332E-20,1.00333,False,True,False,False,False,False,False,False,False,False
219,3,D,4,intergenic_48,BsaI,Payload_2,Tag_69,Tag_139,,,,,,N,Y,,,0.103,6.75333,9.22661661258691E-17,1.00333,False,True,False,False,False,False,False,False,False,False
248,3,A,8,SMU_218,BsaI,Payload_2,Tag_102,Tag_154,SMu0197,24378729,SMU.218,VIMSS295032,1027818,N,Y,N,?,0.101,16.75333,8.63449671329618E-25,1.00333,False,True,False,True,False,False,False,False,False,False
278,3,G,11,intergenic_59,BsaI,Payload_2,Tag_57,Tag_61,,,,,,N,N,,,0.113,6.75333,1.27198600588336E-19,1.00333,False,False,False,False,False,False,False,False,False,False
279,3,H,11,SMU_243,BsaI,Payload_2,Tag_31,Tag_115,SMu0220,24378752,SMU.243,VIMSS295055,1029470,Y,N,Y,N,1.026,24.00333,0.219109902122736,22.65333,True,False,True,True,True,False,False,False,True,True
280,3,A,12,SMU_244,BsaI,Payload_2,Tag_43,Tag_166,SMu0221,24378753,SMU.244,VIMSS295056,1027840,N,N,Y,N,0.171,24.00333,0.0252337129157499,23.75333,False,False,False,True,False,False,False,False,False,False
281,3,B,12,SMU_245,BsaI,Payload_2,Tag_34,Tag_39,SMu0222,24378754,SMU.245,VIMSS295057,1027843,Y,N,Y,N,1.813,21.50306,0.307202409420937,15.38333,True,False,True,True,True,True,False,True,True,True
282,3,C,12,SMU_246,BsaI,Payload_2,Tag_78,Tag_111,SMu0223,24378755,SMU.246,VIMSS295058,1027812,Y,N,Y,N,0.104,2.25333,3.71667394913278E-15,1.00333,True,False,False,False,False,False,False,False,False,False
337,4,B,7,SMU_291,BsaI,Payload_2,Tag_15,Tag_55,SMu0262,24378794,SMU.291,VIMSS295097,1029437,N,N,N,Y,0.103,6.75333,2.21952144844467E-14,1.00333,False,False,False,False,False,False,False,False,False,False
344,4,A,8,SMU_297,BsaI,Payload_2,Tag_59,Tag_83,SMu0268,24378800,SMU.297,VIMSS295103,1029369,N,N,N,Y,0.1,10.75333,2.32624407613674E-21,1.00333,False,False,False,True,False,False,False,False,False,False
355,4,D,9,intergenic_79,BsaI,Payload_2,Tag_1,Tag_11,,,,,,N,N,,,0.111,3.50333,3.68417785097831E-28,1.00333,False,False,False,False,False,False,False,False,False,False
356,4,E,9,SMU_307,BsaI,Payload_2,Tag_47,Tag_155,SMu0277,24378809,SMU.307,VIMSS295112,1029442,N,N,N,Y,0.126,3.50333,1.52458377536105E-18,1.00333,False,False,False,False,False,False,False,False,False,False
365,4,F,10,intergenic_81,BsaI,Payload_2,Tag_6,Tag_132,,,,,,N,N,,,0.13,15.25333,2.72797163611775E-20,1.00333,False,False,False,True,False,False,False,False,False,False
366,4,G,10,SMU_317,BsaI,Payload_2,Tag_63,Tag_159,SMu0285,24378817,SMU.317,VIMSS295120,1027882,N,N,Y,N,0.115,6.50333,1.13218910163067E-21,1.00333,False,False,False,False,False,False,False,False,False,False
372,4,E,11,SMU_322c,BsaI,Payload_1,Tag_32,Tag_183,SMu0289,24378821,SMU.322c,VIMSS295124,1029376,Y,N,Y,N,1.61,23.50306,0.287654896790848,18.15333,True,False,True,True,True,True,False,True,True,True
373,4,F,11,SMU_323,BsaI,Payload_1,Tag_18,Tag_183,,,,,,N,N,N,Y,0.12,3.50333,3.76484651596262E-14,1.00333,False,False,False,False,False,False,False,False,False,False
388,5,E,1,SMU_336,BbsI,Payload_4,Tag_37,Tag_178,SMu0302,24378834,SMU.336,VIMSS295137,1027891,N,N,N,?,0.097,15.25306,2.14309811186239E-16,1.00306,False,False,False,True,False,False,False,False,False,False
393,5,B,2,SMU_340,BsaI,Payload_2,Tag_24,Tag_93,SMu0306,24378838,SMU.340,VIMSS295141,1027896,N,N,N,Y,0.1,2.75306,4.85042082039254E-16,1.00306,False,False,False,False,False,False,False,False,False,False
405,5,F,3,SMU_352,BsaI,Payload_2,Tag_107,Tag_137,SMu0317,24378849,SMU.352,VIMSS295152,1029440,N,N,Y,N,0.107,22.75306,8.43218816093079E-22,1.00306,False,False,False,True,False,False,False,False,False,False
406,5,G,3,SMU_353,BsaI,Payload_2,Tag_62,Tag_167,SMu0318,24378850,SMU.353,VIMSS295153,1029049,N,N,Y,N,0.103,13.50306,9.06043861525468E-17,1.00306,False,False,False,True,False,False,False,False,False,False
410,5,C,4,intergenic_89,BsaI,Payload_2,Tag_65,Tag_183,,,,,,N,N,,,1.461,22.75306,0.318545312567614,18.06306,False,False,True,True,True,True,False,False,True,True
411,5,D,4,SMU_357,PaqCI,Payload_8,Tag_27,Tag_95,SMu0322,24378854,SMU.357,VIMSS295157,1027907,N,N,N,Y,0.098,2.75306,1.65559722794102E-21,1.00306,False,False,False,False,False,False,False,False,False,False
412,5,E,4,SMU_358,BsaI,Payload_2,Tag_26,Tag_189,SMu0323,24378855,SMU.358,VIMSS295158,1029529,N,N,Y,N,1.545,23.00306,0.343112241477527,18.19306,False,False,True,True,True,True,False,False,True,True
413,5,F,4,SMU_359,BsaI,Payload_2,Tag_89,Tag_122,SMu0324,24378856,SMU.359,VIMSS295159,1027906,N,N,N,?,0.102,2.75306,2.3565887413322E-21,1.00306,False,False,False,False,False,False,False,False,False,False
414,5,G,4,intergenic_90,BsaI,Payload_2,Tag_56,Tag_117,,,,,,N,N,,,0.11,3.50333,7.14414058844704E-14,1.00306,False,False,False,False,False,False,False,False,False,False
415,5,H,4,SMU_360,BsaI,Payload_2,Tag_112,Tag_129,SMu0325,24378857,SMU.360,VIMSS295160,1027909,N,N,N,Y,0.095,3.50333,4.4446330665283E-16,1.00306,False,False,False,False,False,False,False,False,False,False
417,5,B,5,SMU_361,BsaI,Payload_2,Tag_6,Tag_86,SMu0326,24378858,SMU.361,VIMSS295161,1029506,N,N,N,?,0.1,7.75306,6.07560294884985E-14,1.00306,False,False,False,True,False,False,False,False,False,False
420,5,E,5,SMU_363,BsaI,Payload_2,Tag_171,Tag_191,SMu0328,24378860,SMU.363,VIMSS295163,1027911,N,Y,Y,N,1.422,13.00306,0.40231224484134,7.39306,False,True,True,True,True,True,False,True,True,True
421,5,F,5,SMU_364,BsaI,Payload_2,Tag_166,Tag_192,SMu0329,24378861,SMU.364,VIMSS295164,1029365,N,N,N,?,1.37,24.00306,0.348746068047727,22.39306,False,False,True,True,True,False,False,False,False,False
425,5,B,6,SMU_368c,BsaI,Payload_1,Tag_61,Tag_183,SMu0333,24378865,SMU.368c,VIMSS295168,1029401,N,N,Y,N,0.104,1.50306,1.84732015832104E-15,1.00306,False,False,False,False,False,False,False,False,False,False
426,5,C,6,SMU_369c,BsaI,Payload_1,Tag_32,Tag_34,SMu0334,24378866,SMU.369c,VIMSS295169,1027914,N,N,Y,N,1.172,24.00306,0.213049156102525,19.72306,False,False,True,True,True,True,False,False,True,True
478,5,G,12,SMU_417,BsaI,Payload_2,Tag_167,Tag_177,SMu0378,24378910,SMU.417,VIMSS295213,1027942,N,Y,Y,N,1.52,16.50306,0.187152189012215,11.43306,False,True,True,True,True,True,False,True,True,True
479,5,H,12,SMU_418,BsaI,Payload_2,Tag_42,Tag_55,SMu0379,24378911,SMU.418,VIMSS295214,1029573,N,N,N,?,0.084,3.00333,-8.56091006298727E-21,1.00306,False,False,False,False,False,False,False,False,False,False
480,6,A,1,SMU_419,BsaI,Payload_2,Tag_4,Tag_115,SMu0380,24378912,SMU.419,VIMSS295215,1027940,N,N,N,Y,0.086,7.50333,0,1.00333,False,False,False,True,False,False,False,False,False,False
481,6,B,1,SMU_420,BsaI,Payload_2,Tag_179,Tag_185,SMu0381,24378913,SMU.420,VIMSS295216,1027943,N,?,Y,N,1.613,23.25333,0.339898342755211,18.46333,False,False,True,True,True,True,False,False,True,True
482,6,C,1,SMU_421,BsaI,Payload_2,Tag_5,Tag_115,SMu0382,24378914,SMU.421,VIMSS295217,1029572,N,N,N,Y,0.098,22.50361,8.00774377804235E-22,1.00333,False,False,False,True,False,False,False,False,False,False
488,6,A,2,SMU_424,BsaI,Payload_2,Tag_111,Tag_141,SMu0385,24378917,SMU.424,VIMSS295220,1029575,?,Y,N,Y,1.798,12.75333,0.333066733943781,8.98333,False,True,True,True,True,True,False,True,True,True
507,6,D,4,SMU_441,BsaI,Payload_2,Tag_27,Tag_182,SMu0400,24378931,SMU.441,VIMSS295234,1027951,N,N,Y,N,0.105,11.00333,3.03776947332303E-28,1.00333,False,False,False,True,False,False,False,False,False,False
509,6,F,4,SMU_444,BsaI,Payload_2,Tag_79,Tag_102,SMu0402,24378933,SMU.444,VIMSS295236,1029581,?,Y,Y,N,1.778,11.50333,0.336839912087001,7.61333,False,True,True,True,True,True,False,True,True,True
510,6,G,4,SMU_445,PaqCI,Payload_8,Tag_87,Tag_134,SMu0403,24378934,SMU.445,VIMSS295237,1027904,?,N,Y,N,0.105,3.00333,1.6376721794982E-12,1.00333,False,False,False,False,False,False,False,False,False,False
511,6,H,4,SMU_446,BsmBI/Esp3I,Payload_6,Tag_24,Tag_95,SMu0404,24378935,SMU.446,VIMSS295238,1027957,?,Y,N,Y,1.544,12.50333,0.32508867282639,7.25333,False,True,True,True,True,True,False,True,True,True
519,6,H,5,SMU_454,BsaI,Payload_2,Tag_111,Tag_117,SMu0411,24378942,SMU.454,VIMSS295245,1029345,N,N,N,Y,0.096,4.50333,1.64071389599244E-17,1.00333,False,False,False,False,False,False,False,False,False,False
520,6,A,6,SMU_455,BsaI,Payload_2,Tag_43,Tag_80,SMu0412,24378943,SMU.455,VIMSS295246,1028367,N,N,Y,N,0.095,7.75333,6.89876038968211E-15,1.00333,False,False,False,True,False,False,False,False,False,False
521,6,B,6,SMU_456,BsaI,Payload_2,Tag_80,Tag_177,SMu0413,24378944,SMU.456,VIMSS295247,1027963,N,N,N,Y,0.102,6.75333,1.13662465372448E-19,1.00333,False,False,False,False,False,False,False,False,False,False
531,6,D,7,SMU_464,BsaI,Payload_2,Tag_13,Tag_143,SMu0421,24378952,SMU.464,VIMSS295255,1029339,N,N,N,Y,0.102,5.25333,5.2524e-320,1.00333,False,False,False,False,False,False,False,False,False,False
532,6,E,7,SMU_465,BsaI,Payload_2,Tag_120,Tag_146,SMu0422,24378953,SMU.465,VIMSS295256,1027968,N,N,N,Y,0.104,2.50333,1.53077872973744E-21,1.00333,False,False,False,False,False,False,False,False,False,False
534,6,G,7,SMU_467,BbsI,Payload_3,Tag_158,Tag_162,,,,,,N,N,N,?,0.105,4.25333,4.15987572082782E-23,1.00333,False,False,False,False,False,False,False,False,False,False
535,6,H,7,SMU_469,BsaI,Payload_1,Tag_54,Tag_164,,,,,,N,N,N,?,0.096,5.75333,1.30522932813094E-17,1.00333,False,False,False,False,False,False,False,False,False,False
537,6,B,8,SMU_471,BsaI,Payload_2,Tag_38,Tag_47,SMu0427,24378958,SMU.471,VIMSS295261,1027965,N,N,N,Y,0.106,5.25333,3.62675467908791E-14,1.00333,False,False,False,False,False,False,False,False,False,False
538,6,C,8,intergenic_110,BsaI,Payload_2,Tag_71,Tag_153,,,,,,N,N,,,0.108,5.25333,9.54013764456369E-22,1.00333,False,False,False,False,False,False,False,False,False,False
543,6,H,8,intergenic_111,BsaI,Payload_2,Tag_17,Tag_158,,,,,,N,N,,,0.095,4.25333,3.21039382212894E-18,1.00333,False,False,False,False,False,False,False,False,False,False
544,6,A,9,SMU_478,BsaI,Payload_2,Tag_70,Tag_149,SMu0432,24378963,SMU.478,VIMSS295266,1029597,N,N,N,?,0.098,2.75333,4.31886103249746E-22,1.00333,False,False,False,False,False,False,False,False,False,False
547,6,D,9,SMU_481,BsaI,Payload_2,Tag_80,Tag_141,SMu0435,24378966,SMU.481,VIMSS295269,1029600,N,N,N,Y,0.109,3.25333,5.05215172155353E-27,1.00333,False,False,False,False,False,False,False,False,False,False
573,6,F,12,SMU_504,BsaI,Payload_2,Tag_17,Tag_56,SMu0457,24378988,SMU.504,VIMSS295291,1027994,N,N,N,?,0.101,18.75333,2.22876500351457E-17,1.00333,False,False,False,True,False,False,False,False,False,False
588,7,E,2,SMU_516,BsaI,Payload_2,Tag_134,Tag_136,SMu0468,24378999,SMU.516,VIMSS295302,1029343,N,N,N,Y,0.106,6.75333,1.16489178222284E-19,1.00333,False,False,False,False,False,False,False,False,False,False
589,7,F,2,SMU_517,BsaI,Payload_2,Tag_38,Tag_153,SMu0469,24379000,SMU.517,VIMSS295303,1027832,N,N,Y,N,0.108,6.75333,1.15013944595007E-15,1.00333,False,False,False,False,False,False,False,False,False,False
614,7,G,5,SMU_540,BsaI,Payload_2,Tag_73,Tag_135,SMu0491,24379022,SMU.540,VIMSS295325,1028018,N,N,Y,N,0.109,4.00333,1.07704727884139E-13,1.00333,False,False,False,False,False,False,False,False,False,False
615,7,H,5,intergenic_123,BsaI,Payload_2,Tag_111,Tag_159,,,,,,N,N,,,0.105,6.25333,4.03633047053341E-24,1.00333,False,False,False,False,False,False,False,False,False,False
622,7,G,6,SMU_548,BbsI,Payload_4,Tag_9,Tag_105,SMu0498,24379029,SMU.548,VIMSS295332,1029595,N,N,Y,N,0.108,4.00333,2.22916896639523E-24,1.00333,False,False,False,False,False,False,False,False,False,False
625,7,B,7,SMU_551,BsaI,Payload_2,Tag_18,Tag_76,SMu0501,24379032,SMU.551,VIMSS295335,1029599,N,N,Y,N,0.105,4.50333,4.50310721526008E-18,1.00333,False,False,False,False,False,False,False,False,False,False
626,7,C,7,SMU_552,BsaI,Payload_2,Tag_61,Tag_120,SMu0502,24379033,SMU.552,VIMSS295336,1028023,N,N,Y,N,0.11,5.25333,2.96339010909382E-21,1.00333,False,False,False,False,False,False,False,False,False,False
633,7,B,8,SMU_558,BsmBI/Esp3I,Payload_6,Tag_93,Tag_180,SMu0508,24379039,SMU.558,VIMSS295342,1028027,N,N,N,?,0.109,5.50333,2.74647767930284E-20,1.00333,False,False,False,False,False,False,False,False,False,False
641,7,B,9,SMU_565c,BbsI,Payload_3,Tag_1,Tag_56,SMu0514,24379045,SMU.565c,VIMSS295348,1028030,N,N,N,?,0.108,3.25333,2.38470874120584E-19,1.00333,False,False,False,False,False,False,False,False,False,False
661,7,F,11,SMU_584,BsaI,Payload_2,Tag_85,Tag_150,SMu0531,24379062,SMU.584,VIMSS295365,1029389,N,N,N,?,0.117,19.50333,1.14346205882324E-21,1.00333,False,False,False,True,False,False,False,False,False,False
667,7,D,12,SMU_589,BsaI,Payload_2,Tag_135,Tag_152,SMu0536,24379067,SMU.589,VIMSS295370,1028043,N,N,N,?,0.106,16.25333,2.1008664933369E-16,1.00333,False,False,False,True,False,False,False,False,False,False
675,8,D,1,intergenic_132,BsaI,Payload_2,Tag_52,Tag_98,,,,,,N,N,,,0.109,5.25306,3.4235884448646E-18,1.00333,False,False,False,False,False,False,False,False,False,False
676,8,E,1,SMU_596,BsaI,Payload_2,Tag_96,Tag_105,SMu0543,24379074,SMU.596,VIMSS295377,1029590,N,N,N,?,0.103,5.25306,1.35991484747173E-21,1.00333,False,False,False,False,False,False,False,False,False,False
679,8,H,1,SMU_598,BsaI,Payload_2,Tag_29,Tag_181,SMu0545,24379076,SMU.598,VIMSS295379,1028050,N,N,Y,N,0.085,1.00333,-3.56798101584517E-24,1.00333,False,False,False,False,False,False,False,False,False,False
680,8,A,2,intergenic_134,BsaI,Payload_2,Tag_15,Tag_122,,,,,,N,N,,,0.098,5.25306,-1.2815574324744E-19,1.00333,False,False,False,False,False,False,False,False,False,False
681,8,B,2,SMU_599,BsaI,Payload_2,Tag_41,Tag_136,SMu0546,24379077,SMU.599,VIMSS295380,1029384,N,N,N,?,0.103,1.25306,4.86996984651549E-20,1.00333,False,False,False,False,False,False,False,False,False,False
685,8,F,2,SMU_603,BsaI,Payload_2,Tag_107,Tag_124,SMu0549,24379080,SMU.603,VIMSS295383,1028382,N,N,N,?,0.105,3.25306,1.56265366808694E-16,1.00333,False,False,False,False,False,False,False,False,False,False
694,8,G,3,SMU_610,BsaI,Payload_2,Tag_47,Tag_79,SMu0556,24379087,SMU.610,VIMSS295390,1028055,N,Y,Y,N,1.541,11.75306,0.365740839640072,6.86333,False,True,True,True,True,True,False,True,True,True
713,8,B,6,SMU_628,BsaI,Payload_2,Tag_26,Tag_73,SMu0570,24379101,SMU.628,VIMSS295404,1029584,N,N,N,Y,0.101,4.75333,1.29222394520415E-17,1.00333,False,False,False,False,False,False,False,False,False,False
714,8,C,6,SMU_629,BbsI,Payload_4,Tag_41,Tag_111,SMu0571,24379102,SMU.629,VIMSS295405,1029605,N,N,Y,N,1.209,21.00333,0.315713526480665,18.53333,False,False,True,True,True,True,False,False,True,True
741,8,F,9,intergenic_149,BsaI,Payload_2,Tag_18,Tag_48,,,,,,N,N,,,0.107,5.50333,1.03887358207218E-24,1.00333,False,False,False,False,False,False,False,False,False,False
742,8,G,9,SMU_650,BsaI,Payload_2,Tag_83,Tag_145,SMu0592,24379123,SMU.650,VIMSS295426,1029360,N,N,N,?,0.106,5.50333,2.14584077314789E-14,1.00333,False,False,False,False,False,False,False,False,False,False
763,8,D,12,SMU_667,BbsI,Payload_3,Tag_133,Tag_157,,,,,,N,N,N,Y,0.102,7.00306,2.91080326286059E-16,1.00333,False,False,False,True,False,False,False,False,False,False
765,8,F,12,SMU_668c,BsaI,Payload_1,Tag_48,Tag_102,SMu0610,24379141,SMU.668c,VIMSS295444,1029366,N,N,N,?,0.105,5.25306,4.15373613433271E-15,1.00333,False,False,False,False,False,False,False,False,False,False
766,8,G,12,SMU_669c,BsaI,Payload_1,Tag_41,Tag_95,SMu0611,24379142,SMU.669c,VIMSS295445,1028087,N,N,N,?,0.106,5.75333,4.30707775380849E-17,1.00333,False,False,False,False,False,False,False,False,False,False
773,9,F,1,SMU_674,BsaI,Payload_2,Tag_101,Tag_120,SMu0616,24379147,SMU.674,VIMSS295450,1029475,N,N,N,?,0.101,19.25528,1.06260897734027E-15,1.00333,False,False,False,True,False,False,False,False,False,False
774,9,G,1,SMU_675,BsaI,Payload_2,Tag_40,Tag_124,SMu0617,24379148,SMU.675,VIMSS295451,1028092,N,N,N,Y,0.103,23.50306,2.42120259575073E-21,1.00333,False,False,False,True,False,False,False,False,False,False
775,9,H,1,intergenic_157,BsaI,Payload_2,Tag_128,Tag_167,,,,,,N,?,,,1.678,11.00333,0.354800461986773,6.27333,False,False,True,True,True,True,False,False,True,True
776,9,A,2,SMU_676,BsaI,Payload_2,Tag_86,Tag_187,SMu0618,24379149,SMU.676,VIMSS295452,1028095,N,N,N,?,0.097,2.75333,2.55857981354841E-20,1.00333,False,False,False,False,False,False,False,False,False,False
800,9,A,5,SMU_697,BsaI,Payload_2,Tag_14,Tag_125,SMu0637,24379168,SMU.697,VIMSS295471,1027826,N,N,Y,N,0.108,16.00306,4.42867581747943E-18,1.00333,False,False,False,True,False,False,False,False,False,False
